IDNUMBO;PRODA;UGBBO;RATIOBO;;IDNUMCA;UGBCA;PRODA;RATIOCA;;IDNUMHE;UGBHE;PRODA;RATIOHE;;IDNUMOV;UGBOV;PRODA;RATIOOV;;IDNUMPO;UGBPO;PRODA;RATIOPO;;TDTE3;;ZENVI
48191;423403;6;70567,16667;;;;;;;35618;5;-3653;-730,6;;44817;9;51962;5773,555556;;47432;48;602953;12561,52083;;283317;;0
48616;249669,02;6;41611,50333;;;;;;;36327;5;6768;1353,6;;46871;9;43517,04;4835,226667;;48113;48;508744;10598,83333;;286940.2;;0
48662;27897;6;4649,5;;;;;;;36340;5;91170;18234;;46964;9;20559,8;2284,422222;;48759;48;499334;10402,79167;;96808;;0
48663;2666;6;444,3333333;;;;;;;37372;5;4842;968,4;;47889;9;16082,7;1786,966667;;49287;48;539872,02;11247,33375;;121897;;0
49056;2351;6;391,8333333;;;;;;;39316;5;11203;2240,6;;49051;9;19486;2165,111111;;49290;48;788667;16430,5625;;367401;;0
49157;21655;6;3609,166667;;;;;;;39378;5;33214;6642,8;;49353;9;4537;504,1111111;;49468;48;664743;13848,8125;;48524;;0
49340;8248;6;1374,666667;;;;;;;39571;5;10754;2150,8;;49366;9;14082,5;1564,722222;;45642;48;696766,49;14515,96854;;5844;;0
49520;13913,99;6;2318,998333;;;;;;;39734;5;0;0;;47823;9;24435,06;2715,006667;;2828;48;182136;3794,5;;21045;;0
3758;3758;7;536,8571429;;;;;;;40256;5;7725;1545;;49163;9;142952;15883,55556;;36805;48;423058,37;8813,716042;;67414;;0
4085;20701;7;2957,285714;;;;;;;40283;5;255849;51169,8;;48662;9;27897;3099,666667;;40835;48;598076;12459,91667;;18459;;0
4655;34290,73;7;4898,675714;;;;;;;41085;5;13277,92;2655,584;;46860;9;46379;5153,222222;;48795;48;588438;12259,125;;82900;;0
7092;94395,65;7;13485,09286;;;;;;;42001;5;1750;350;;48663;9;2666;296,2222222;;46814;48;648933,58;13519,44958;;46327;;0
9463;70342;7;10048,85714;;;;;;;42244;5;17670;3534;;46845;9;44558,49;4950,943333;;46293;48;471744;9828;;100244;;0
9467;-1553;7;-221,8571429;;;;;;;42482;5;10290,57;2058,114;;47249;9;42781,08;4753,453333;;48626;48;620455,58;12926,15792;;10384;;0
22546;6481;7;925,8571429;;;;;;;43079;5;5617,71;1123,542;;37082;9;59472,04;6608,004444;;2562;48;580602;12095,875;;10599;;0
30484;37289;7;5327;;;;;;;43580;5;-1573;-314,6;;47182;9;82070,22;9118,913333;;43957;48;415541;8657,104167;;105557;;1
31912;109568;7;15652,57143;;;;;;;43850;5;0;0;;48504;9;76960,39;8551,154444;;36148;49;624324;12741,30612;;257872.7;;0
